Data,VelocidadeMediaVento
2014-06-02,3.7
2014-06-03,3.6
2014-06-04,3.3
2014-06-05,3.566667
2014-06-06,3.8666669999999996
2014-06-07,4.0
2014-06-08,4.2
2014-06-09,3.8666669999999996
2014-06-10,4.366667
2014-06-11,2.4666669999999997
2014-06-12,3.7
2014-06-13,1.333333
2014-06-14,1.633333
2014-06-15,2.733333
2014-06-16,4.233333
2014-06-17,3.0333330000000003
2014-06-18,4.966667
2014-06-19,3.8666669999999996
2014-06-20,4.366667
2014-06-21,4.966667
2014-06-22,4.4
2014-06-23,2.766667
2014-06-24,3.0
2014-06-25,4.133333
2014-06-26,1.633333
2014-06-27,3.8666669999999996
2014-06-28,3.0
2014-06-29,3.066667
2014-06-30,5.3333330000000005
2014-07-01,5.0
2014-07-02,2.166667
2014-07-03,3.066667
2014-07-04,4.6666669999999995
2014-07-05,4.7
2014-07-06,3.3
2014-07-07,4.066667
2014-07-08,2.7
2014-07-09,4.8
2014-07-10,4.133333
2014-07-11,2.566667
2014-07-12,2.4666669999999997
2014-07-13,4.966667
2014-07-14,4.133333
2014-07-15,3.566667
2014-07-16,3.4
2014-07-17,3.8666669999999996
2014-07-18,3.566667
2014-07-19,1.133333
2014-07-20,2.733333
2014-07-21,2.8666669999999996
2014-07-22,4.4
2014-07-23,4.433333
2014-07-24,5.0
2014-07-25,3.666667
2014-07-26,3.8666669999999996
2014-07-27,2.733333
2014-07-28,2.166667
2014-07-29,4.6666669999999995
2014-07-30,4.133333
2014-07-31,4.433333
2014-08-01,4.433333
2014-08-02,3.3
2014-08-03,3.3
2014-08-04,3.3
2014-08-05,4.0
2014-08-06,3.3666669999999996
2014-08-07,3.833333
2014-08-08,4.533333
2014-08-09,3.1333330000000004
2014-08-10,3.8666669999999996
2014-08-11,5.8
2014-08-12,2.833333
2014-08-13,4.133333
2014-08-14,4.433333
2014-08-15,4.433333
2014-08-16,4.366667
2014-08-17,2.166667
2014-08-18,4.6666669999999995
2014-08-19,4.266667
2014-08-20,3.266667
2014-08-21,3.433333
2014-08-22,5.533333
2014-08-23,5.533333
2014-08-24,2.9666669999999997
2014-08-25,4.7
2014-08-26,4.433333
2014-08-27,4.433333
2014-08-28,3.4
2014-08-29,4.366667
2014-08-30,4.4
2014-08-31,3.3
2014-09-01,4.133333
2014-09-02,2.3
2014-09-03,3.566667
2014-09-04,3.0333330000000003
2014-09-05,4.6666669999999995
2014-09-06,4.433333
2014-09-07,3.5333330000000003
2014-09-08,2.166667
2014-09-09,3.4666669999999997
2014-09-10,4.966667
2014-09-11,4.966667
2014-09-12,4.3
2014-09-13,3.6333330000000004
2014-09-14,6.066667
2014-09-15,5.066667
2014-09-16,5.0
2014-09-17,4.6666669999999995
2014-09-18,3.666667
2014-09-19,2.4666669999999997
2014-09-20,3.8666669999999996
2014-09-21,4.433333
2014-09-22,4.233333
2014-09-23,5.8
2014-09-24,5.966667
2014-09-25,4.966667
2014-09-26,4.133333
2014-09-27,4.966667
2014-09-28,3.8666669999999996
2014-09-29,5.233333
2014-09-30,5.266667
2014-10-01,3.566667
2014-10-02,4.233333
2014-10-03,4.133333
2014-10-04,5.533333
2014-10-05,5.233333
2014-10-06,4.966667
2014-10-07,5.0
2014-10-08,5.533333
2014-10-09,5.266667
2014-10-10,4.966667
2014-10-11,3.3
2014-10-12,4.966667
2014-10-13,5.8
2014-10-14,5.233333
2014-10-15,4.966667
2014-10-16,4.8
2014-10-17,4.533333
2014-10-18,6.633333
2014-10-19,5.366667
